epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.375,0,122.353,0,0,0,0,0,0,204.271,0,0.00026664,0.00026664,0.00026664
2,618.664,0,104.913,0,0,0,0,0,0,158.13,0,0.000533611,0.000533611,0.000533611
3,913.453,0,95.1973,0,0,0,0,0,0,115.465,0,0.000789583,0.000789583,0.000789583
4,1180.51,0,86.0211,0,0,0,0,0,0,123.686,0,0.00103456,0.00103456,0.00103456
5,1444.25,0,79.048,0,0,0,0,0,0,112.598,0,0.00102301,0.00102301,0.00102301
6,1668.68,0,71.6824,0,0,0,0,0,0,119.413,0,0.00100101,0.00100101,0.00100101
7,1883.45,0,65.0373,0,0,0,0,0,0,1447.5,0,0.000979013,0.000979013,0.000979013
8,2110.79,0,58.6116,0,0,0,0,0,0,99.4665,0,0.000957015,0.000957015,0.000957015
9,2364.85,0,52.6123,0,0,0,0,0,0,90.1363,0,0.000935018,0.000935018,0.000935018
10,2619.81,0,47.1384,0,0,0,0,0,0,80.2803,0,0.00091302,0.00091302,0.00091302
11,2866.14,0,42.3557,0,0,0,0,0,0,72.5167,0,0.000891022,0.000891022,0.000891022
12,3110.39,0,37.8057,0,0,0,0,0,0,61.7033,0,0.000869024,0.000869024,0.000869024
13,3358.8,0,33.5926,0,0,0,0,0,0,55.4085,0,0.000847026,0.000847026,0.000847026
14,3621.55,0,29.8151,0,0,0,0,0,0,49.458,0,0.000825029,0.000825029,0.000825029
15,3912.83,0,26.445,0,0,0,0,0,0,43.1449,0,0.000803031,0.000803031,0.000803031
16,4135.47,0,23.5965,0,0,0,0,0,0,39.5949,0,0.000781033,0.000781033,0.000781033
17,4361.23,0,20.9531,0,0,0,0,0,0,36.1942,0,0.000759035,0.000759035,0.000759035
18,4619.12,0,18.6153,0,0,0,0,0,0,32.5624,0,0.000737037,0.000737037,0.000737037
19,4838.63,0,16.5297,0,0,0,0,0,0,27.9436,0,0.00071504,0.00071504,0.00071504
20,5049.44,0,14.7091,0,0,0,0,0,0,22.7501,0,0.000693042,0.000693042,0.000693042
21,5257.43,0,13.1461,0,0,0,0,0,0,21.2534,0,0.000671044,0.000671044,0.000671044
22,5477.8,0,11.7545,0,0,0,0,0,0,19.5346,0,0.000649046,0.000649046,0.000649046
23,5691.51,0,10.5092,0,0,0,0,0,0,18.3359,0,0.000627048,0.000627048,0.000627048
24,5904.97,0,9.43843,0,0,0,0,0,0,16.0968,0,0.000605051,0.000605051,0.000605051
25,6121.55,0,8.51125,0,0,0,0,0,0,14.55,0,0.000583053,0.000583053,0.000583053
26,6337.34,0,7.66002,0,0,0,0,0,0,13.0917,0,0.000561055,0.000561055,0.000561055
27,6558.61,0,6.91595,0,0,0,0,0,0,11.2859,0,0.000539057,0.000539057,0.000539057
28,6775.3,0,6.24428,0,0,0,0,0,0,15.8204,0,0.000517059,0.000517059,0.000517059
29,6987.55,0,5.67224,0,0,0,0,0,0,9.44879,0,0.000495062,0.000495062,0.000495062
30,7202.47,0,5.16325,0,0,0,0,0,0,8.25467,0,0.000473064,0.000473064,0.000473064
31,7417.24,0,4.70562,0,0,0,0,0,0,7.57839,0,0.000451066,0.000451066,0.000451066
32,7631.52,0,4.30741,0,0,0,0,0,0,7.26865,0,0.000429068,0.000429068,0.000429068
33,7845.03,0,3.96992,0,0,0,0,0,0,6.39929,0,0.00040707,0.00040707,0.00040707
34,8061.33,0,3.63257,0,0,0,0,0,0,6.09024,0,0.000385073,0.000385073,0.000385073
35,8276.76,0,3.36895,0,0,0,0,0,0,5.63637,0,0.000363075,0.000363075,0.000363075
36,8514.55,0,3.14672,0,0,0,0,0,0,5.1476,0,0.000341077,0.000341077,0.000341077
37,8727.57,0,2.92347,0,0,0,0,0,0,4.90604,0,0.000319079,0.000319079,0.000319079
38,8947.08,0,2.73244,0,0,0,0,0,0,4.57411,0,0.000297081,0.000297081,0.000297081
39,9161.45,0,2.59233,0,0,0,0,0,0,4.34592,0,0.000275084,0.000275084,0.000275084
40,9377.75,0,2.45122,0,0,0,0,0,0,4.03089,0,0.000253086,0.000253086,0.000253086
41,9594.08,0,2.32725,0,0,0,0,0,0,3.86087,0,0.000231088,0.000231088,0.000231088
42,9806.24,0,2.21314,0,0,0,0,0,0,4.85836,0,0.00020909,0.00020909,0.00020909
43,10025.6,0,2.10444,0,0,0,0,0,0,3.6389,0,0.000187092,0.000187092,0.000187092
44,10241.2,0,2.01015,0,0,0,0,0,0,3.34259,0,0.000165095,0.000165095,0.000165095
45,10455.9,0,1.94494,0,0,0,0,0,0,4.47971,0,0.000143097,0.000143097,0.000143097
46,10670.2,0,1.90083,0,0,0,0,0,0,12.7172,0,0.000121099,0.000121099,0.000121099
47,10886.7,0,1.87342,0,0,0,0,0,0,5.05626,0,9.91012e-05,9.91012e-05,9.91012e-05
48,11103.4,0,1.84238,0,0,0,0,0,0,24.7346,0,7.71034e-05,7.71034e-05,7.71034e-05
49,11317.4,0,1.82284,0,0,0,0,0,0,7.73018,0,5.51056e-05,5.51056e-05,5.51056e-05
50,11531.3,0,1.80807,0,0,0,0,0,0,5.27514,0,3.31078e-05,3.31078e-05,3.31078e-05
